epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5862646698951721,0.618444561958313,9.999999747378752e-05,0.7041824460029602,0.5996236801147461,0.6501926779747009,0.47965532541275024,0.419173002243042,0.787675678730011,0.3333333432674408,0.0009208103292621672
1,0.6152189373970032,0.650984525680542,9.999999747378752e-05,0.6647005677223206,0.6212213635444641,0.6941736340522766,0.5773097276687622,0.6031481623649597,0.6760856509208679,0.5856540203094482,0.6390423774719238
2,0.6255084872245789,0.672427773475647,9.999999747378752e-05,0.6467986106872559,0.6327461004257202,0.6921333074569702,0.6093824505805969,0.6851815581321716,0.6536062359809875,0.5870967507362366,0.8379374146461487
3,0.6372337937355042,0.690750002861023,9.999999747378752e-05,0.6351792216300964,0.6461734175682068,0.6909997463226318,0.6136907339096069,0.6751784086227417,0.6531155705451965,0.6218340396881104,0.6556169390678406
4,0.6483608484268188,0.7031797170639038,9.999999747378752e-05,0.627168595790863,0.6550779342651367,0.7048288583755493,0.6381043791770935,0.6991392374038696,0.6317281126976013,0.6204379796981812,0.7826887369155884
5,0.6563771367073059,0.7139732837677002,9.999999747378752e-05,0.6195270419120789,0.6703564524650574,0.6864656805992126,0.6261368989944458,0.6978852152824402,0.660253643989563,0.60353022813797,0.8186003565788269
6,0.6570950150489807,0.7203017473220825,9.999999747378752e-05,0.6144817471504211,0.6700417995452881,0.690092921257019,0.623264729976654,0.7000260949134827,0.662852942943573,0.6038916110992432,0.8001841902732849
7,0.6618808507919312,0.7265620231628418,9.999999747378752e-05,0.60776287317276,0.6731483340263367,0.6984810829162598,0.622307300567627,0.6897457242012024,0.6686213612556458,0.6270316243171692,0.6749539375305176
8,0.6721704006195068,0.7389281988143921,9.999999747378752e-05,0.6008489727973938,0.6840713620185852,0.7039220333099365,0.6251795291900635,0.6888707876205444,0.6720680594444275,0.6148597598075867,0.7467771768569946
9,0.6767169237136841,0.7456696033477783,9.999999747378752e-05,0.5939633250236511,0.6905239820480347,0.7021083831787109,0.6615605354309082,0.725598931312561,0.6190708875656128,0.673693835735321,0.6767956018447876
10,0.6799473762512207,0.751051127910614,9.999999747378752e-05,0.5886161923408508,0.6904343962669373,0.7134436368942261,0.6337960958480835,0.7124845385551453,0.6535054445266724,0.6145610213279724,0.7928176522254944
11,0.6919119358062744,0.7553244233131409,9.999999747378752e-05,0.5867319107055664,0.7019357681274414,0.7234187126159668,0.6658688187599182,0.7311577796936035,0.610068142414093,0.6799628734588623,0.6749539375305176
