epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5865039229393005,0.6211270689964294,0.0010000000474974513,0.7685500979423523,0.6036466360092163,0.6304692625999451,0.4700813889503479,0.4504736363887787,0.9211746454238892,0.1111111119389534,0.0027624310459941626
1,0.616894006729126,0.6663147211074829,0.0010000000474974513,0.6964658498764038,0.6299161911010742,0.6644752025604248,0.5667783617973328,0.5982164144515991,0.7612498998641968,0.5591117143630981,0.7882136106491089
2,0.6435750126838684,0.698067843914032,0.0010000000474974513,0.6642993688583374,0.6553145051002502,0.6848787069320679,0.6151268482208252,0.6824824810028076,0.6733952760696411,0.6061747074127197,0.7412523031234741
3,0.6576932072639465,0.7136046290397644,0.0010000000474974513,0.6497105360031128,0.6698071956634521,0.693040132522583,0.6074677109718323,0.6690728664398193,0.7088542580604553,0.5865885615348816,0.8296501040458679
4,0.6679827570915222,0.7274040579795837,0.0010000000474974513,0.6375454664230347,0.6789934635162354,0.7034686207771301,0.5988511443138123,0.7040384411811829,0.7829866409301758,0.5707762837409973,0.920810341835022
5,0.6706149578094482,0.7406896352767944,0.0010000000474974513,0.6247426271438599,0.6819578409194946,0.7043754458427429,0.6687410473823547,0.7307451963424683,0.633720874786377,0.6807339191436768,0.6832412481307983
6,0.6825795769691467,0.7499327659606934,0.0010000000474974513,0.6176537275314331,0.6938685774803162,0.7132169604301453,0.6285303831100464,0.6894803047180176,0.767319917678833,0.6806526780128479,0.5377532243728638
7,0.68975830078125,0.7585670351982117,0.0010000000474974513,0.6087099313735962,0.7009283900260925,0.7188845872879028,0.6108185648918152,0.6925971508026123,0.7502254843711853,0.5849409103393555,0.8655617237091064
8,0.6968173980712891,0.7643547058105469,0.0010000000474974513,0.6050851941108704,0.7051365971565247,0.7313534617424011,0.6768788695335388,0.7415745258331299,0.6254376173019409,0.6929577589035034,0.6795580387115479
9,0.7023211121559143,0.7730361819267273,0.0010000000474974513,0.5991334915161133,0.7134295105934143,0.7286329865455627,0.6467209458351135,0.7291445136070251,0.6453176140785217,0.6279411911964417,0.7863720059394836
10,0.7133285403251648,0.7854570150375366,0.0010000000474974513,0.5897892117500305,0.7255428433418274,0.7347540259361267,0.5978937149047852,0.7336797118186951,0.7806153893470764,0.5692567825317383,0.9309391975402832
