epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5679588317871094,0.5958092212677002,9.999999747378752e-05,0.7177433371543884,0.5697106719017029,0.7411018013954163,0.5232168436050415,0.5104125738143921,0.8640009760856628,0.5220804810523987,0.979742169380188
1,0.6105527877807617,0.659320592880249,9.999999747378752e-05,0.6476684212684631,0.6226134896278381,0.6653820276260376,0.6002871990203857,0.6626290678977966,0.6469537019729614,0.6402234435081482,0.5276243090629578
2,0.6514716148376465,0.7134330868721008,9.999999747378752e-05,0.6122746467590332,0.668921947479248,0.6724098920822144,0.6467209458351135,0.7124304175376892,0.6130340099334717,0.6596330404281616,0.6620625853538513
3,0.6786312460899353,0.753094494342804,9.999999747378752e-05,0.5838963985443115,0.6943005323410034,0.6987077593803406,0.6515079140663147,0.7185941934585571,0.6149134039878845,0.6772277355194092,0.6298342347145081
4,0.7169179320335388,0.7949771285057068,9.999999747378752e-05,0.5433294177055359,0.7342497110366821,0.7265926003456116,0.6711345314979553,0.7439674735069275,0.5980814099311829,0.6661115884780884,0.7366482615470886
5,0.7497009038925171,0.8424152135848999,9.999999747378752e-05,0.4871486723423004,0.7687137722969055,0.7519837021827698,0.6787936687469482,0.7566182613372803,0.5849966406822205,0.6944704651832581,0.6823204159736633
6,0.7980378270149231,0.8933358192443848,9.999999747378752e-05,0.4140320122241974,0.8169965147972107,0.7955112457275391,0.6926759481430054,0.7679466009140015,0.5962768793106079,0.6897435784339905,0.7430939078330994
7,0.8522374033927917,0.9362462759017944,9.999999747378752e-05,0.3330170810222626,0.8703358173370361,0.8460666537284851,0.6979416012763977,0.7830880880355835,0.609638512134552,0.6778733134269714,0.7983425259590149
8,0.8985403180122375,0.9668533205986023,9.999999747378752e-05,0.24725127220153809,0.9068280458450317,0.9002493619918823,0.6965054869651794,0.7734003663063049,0.6989423632621765,0.7783251404762268,0.5819520950317383
9,0.9428092837333679,0.9888309240341187,4.999999873689376e-05,0.1540871560573578,0.9511355757713318,0.9399229288101196,0.7180469036102295,0.7987189888954163,0.6417009234428406,0.7079498171806335,0.7790055274963379
10,0.9636276364326477,0.9947042465209961,4.999999873689376e-05,0.10964613407850266,0.9719604849815369,0.9587395191192627,0.7166107892990112,0.7971591949462891,0.6816970705986023,0.722122311592102,0.7394106984138489
11,0.9760708212852478,0.9972727298736572,4.999999873689376e-05,0.07901028543710709,0.9779795408248901,0.976649284362793,0.7233126163482666,0.7999977469444275,0.6977101564407349,0.7313296794891357,0.7394106984138489
12,0.981574535369873,0.9985207915306091,2.499999936844688e-05,0.06378426402807236,0.9832009077072144,0.9818634986877441,0.7247486710548401,0.8030517101287842,0.7323917150497437,0.7299730181694031,0.7467771768569946
13,0.9877961277961731,0.9991586804389954,2.499999936844688e-05,0.048227861523628235,0.989547848701477,0.9873044490814209,0.7276208996772766,0.8060895204544067,0.7296684980392456,0.737810492515564,0.7384898662567139
14,0.9891121983528137,0.9994165897369385,2.499999936844688e-05,0.0420508049428463,0.9895738959312439,0.9897982478141785,0.7218765020370483,0.8027240037918091,0.7864259481430054,0.7482792735099792,0.7007366418838501
15,0.9904283285140991,0.9995917081832886,1.249999968422344e-05,0.037358589470386505,0.9920472502708435,0.9897982478141785,0.7213978171348572,0.8056860566139221,0.7802661061286926,0.7210526466369629,0.7569060921669006
16,0.9917444586753845,0.9997386336326599,1.249999968422344e-05,0.03109988011419773,0.9931849241256714,0.9911584854125977,0.7190043330192566,0.8040119409561157,0.8018797039985657,0.7091366052627563,0.7790055274963379
17,0.9930605292320251,0.9997519254684448,1.249999968422344e-05,0.028280792757868767,0.9932019114494324,0.9936522245407104,0.7180469036102295,0.8030132055282593,0.8338626027107239,0.707602322101593,0.7799263596534729
18,0.9913855195045471,0.9997093081474304,6.24999984211172e-06,0.030060626566410065,0.9929561614990234,0.9907050728797913,0.7199617028236389,0.8013799786567688,0.8469882607460022,0.7099748253822327,0.7799263596534729
19,0.9942569732666016,0.9998465776443481,6.24999984211172e-06,0.025427302345633507,0.9943349361419678,0.9947857856750488,0.7266634702682495,0.8035808801651001,0.833463191986084,0.7260755300521851,0.7615101337432861
20,0.9940177202224731,0.9997563362121582,6.24999984211172e-06,0.02648410201072693,0.9934374094009399,0.9952391982078552,0.7223551869392395,0.803550660610199,0.8375131487846375,0.7144067883491516,0.7762430906295776
