epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.571189284324646,0.6000060439109802,9.999999747378752e-05,0.734033465385437,0.5858418345451355,0.6397642493247986,0.4786979556083679,0.5299502015113831,1.4420803785324097,0.0,0.0
1,0.6222780346870422,0.6775519847869873,9.999999747378752e-05,0.6420371532440186,0.6226046085357666,0.7218317985534668,0.6280516982078552,0.688615083694458,0.6449670791625977,0.6824085116386414,0.5322283506393433
2,0.6362766027450562,0.7046632766723633,9.999999747378752e-05,0.6189202070236206,0.6291203498840332,0.757197916507721,0.6404978632926941,0.7040985822677612,0.6260577440261841,0.6432848572731018,0.6924493312835693
3,0.6665470004081726,0.7424224019050598,9.999999747378752e-05,0.5905066132545471,0.6613031625747681,0.7547041773796082,0.6409765481948853,0.7117739319801331,0.628097414970398,0.6830065250396729,0.5773480534553528
4,0.6974156498908997,0.7859424352645874,9.999999747378752e-05,0.5498241186141968,0.6926699280738831,0.7669462561607361,0.6476783156394958,0.718114972114563,0.6378259658813477,0.6255379915237427,0.8029465675354004
5,0.7359415888786316,0.8256628513336182,9.999999747378752e-05,0.5075186491012573,0.7336726188659668,0.78440260887146,0.6572522521018982,0.7374252676963806,0.6145879030227661,0.698924720287323,0.5985267162322998
6,0.7863125205039978,0.8783875703811646,9.999999747378752e-05,0.43741676211357117,0.7899271249771118,0.810700535774231,0.6802297830581665,0.7530635595321655,0.5960453152656555,0.717255711555481,0.6353591084480286
7,0.8345298171043396,0.9216290712356567,9.999999747378752e-05,0.36345869302749634,0.8417606949806213,0.8453865051269531,0.6754428148269653,0.7572269439697266,0.6544464826583862,0.7628865838050842,0.5451197028160095
8,0.877004086971283,0.9548784494400024,9.999999747378752e-05,0.28308090567588806,0.8864519000053406,0.8796191215515137,0.69028240442276,0.7628247737884521,0.6693128347396851,0.7184079885482788,0.6648250222206116
9,0.9144532084465027,0.9759029746055603,9.999999747378752e-05,0.21394400298595428,0.9201909899711609,0.9174790382385254,0.6960268020629883,0.7695867419242859,0.6268061995506287,0.7157894968986511,0.6887661218643188
10,0.95429527759552,0.991881787776947,9.999999747378752e-06,0.1420622318983078,0.9600365161895752,0.9530718922615051,0.7099090218544006,0.7834177017211914,0.6645788550376892,0.7047781348228455,0.7605893015861511
11,0.9614740610122681,0.9945920705795288,9.999999747378752e-06,0.11461109668016434,0.9668874144554138,0.9598730206489563,0.7046433687210083,0.784164547920227,0.6682419776916504,0.7051618695259094,0.7421731352806091
12,0.9697296023368835,0.9962366223335266,9.999999747378752e-06,0.09859848022460938,0.9750913977622986,0.9673543572425842,0.699377715587616,0.78395015001297,0.6884844899177551,0.702296793460846,0.7320442199707031
13,0.9716439247131348,0.9966352581977844,9.999999974752427e-07,0.09208671003580093,0.9788894057273865,0.9671276211738586,0.7008137702941895,0.7849394083023071,0.6926658749580383,0.6975150108337402,0.7495396137237549
14,0.9728403687477112,0.9973968863487244,9.999999974752427e-07,0.087234728038311,0.980036735534668,0.968261182308197,0.7008137702941895,0.7851734757423401,0.693023681640625,0.6968402862548828,0.7513812184333801
15,0.9742761254310608,0.9972233176231384,9.999999974752427e-07,0.08689422905445099,0.9805313944816589,0.970528244972229,0.7017711997032166,0.7853235602378845,0.6961116790771484,0.697357177734375,0.7532228231430054
16,0.976190447807312,0.9976595044136047,9.999999974752427e-07,0.08466911315917969,0.9810415506362915,0.9737021327018738,0.7003350853919983,0.7854411602020264,0.6974899768829346,0.694915235042572,0.7550644278526306
17,0.97092604637146,0.996642529964447,9.999999974752427e-07,0.09186108410358429,0.9768878817558289,0.9678077697753906,0.7012924551963806,0.7858404517173767,0.6958780884742737,0.697098970413208,0.7523020505905151
18,0.9749940037727356,0.9979912042617798,9.999999974752427e-07,0.07906431704759598,0.9781520366668701,0.974382221698761,0.7008137702941895,0.7857844233512878,0.697989821434021,0.6968402862548828,0.7513812184333801
19,0.975472629070282,0.9976734519004822,9.999999974752427e-07,0.0824698954820633,0.9832261204719543,0.9700748324394226,0.7017711997032166,0.7856370210647583,0.7003343105316162,0.6976943016052246,0.7523020505905151
20,0.975352942943573,0.9977401494979858,9.999999974752427e-07,0.0802658200263977,0.9816724061965942,0.9714350700378418,0.7022498846054077,0.7856981158256531,0.702009379863739,0.6979522109031677,0.7532228231430054
21,0.979899525642395,0.99817955493927,9.999999974752427e-07,0.07564762979745865,0.9842501878738403,0.9775561094284058,0.6998564004898071,0.7856807112693787,0.7051675319671631,0.6949872374534607,0.7532228231430054
